"FullScenario","BaselineMs","OptimizedMs","DeltaMs","DeltaPct"
"tests_benchmark_compute_precompile_test_ecrecover.py__test_ecrecover[fork_Prague-benchmark-blockchain_test_engine_x-ecrecover]-gas-value_100M","1886.91","1485.1","-401.81","-21.29%"
"tests_benchmark_compute_precompile_test_identity.py__test_identity_fixed_size[fork_Prague-benchmark-blockchain_test_engine_x-size_256]-gas-value_100M","433.43","163.48","-269.95","-62.28%"
"tests_benchmark_compute_precompile_test_identity.py__test_identity_fixed_size[fork_Prague-benchmark-blockchain_test_engine_x-size_32]-gas-value_100M","385.46","143.97","-241.49","-62.65%"
"tests_benchmark_compute_precompile_test_identity.py__test_identity_fixed_size[fork_Prague-benchmark-blockchain_test_engine_x-size_1024]-gas-value_100M","341.21","179.62","-161.59","-47.36%"
"tests_benchmark_compute_precompile_test_identity.py__test_identity_fixed_size[fork_Prague-benchmark-blockchain_test_engine_x-size_0]-gas-value_100M","264.44","127.49","-136.95","-51.79%"
"tests_benchmark_compute_precompile_test_identity.py__test_identity[fork_Prague-benchmark-blockchain_test_engine_x]-gas-value_100M","426.5","322.18","-104.32","-24.46%"
"tests_benchmark_compute_instruction_test_call_context.py__test_returndatasize_nonzero[fork_Prague-benchmark-blockchain_test_engine_x-returned_size_32-return_data_style_ReturnDataStyle.IDENTITY]-gas-value_100M","169.63","134.33","-35.3","-20.81%"
"tests_benchmark_compute_instruction_test_call_context.py__test_returndatasize_nonzero[fork_Prague-benchmark-blockchain_test_engine_x-returned_size_0-return_data_style_ReturnDataStyle.IDENTITY]-gas-value_100M","409.89","386.19","-23.7","-5.78%"
"tests_benchmark_compute_instruction_test_call_context.py__test_returndatasize_nonzero[fork_Prague-benchmark-blockchain_test_engine_x-returned_size_256-return_data_style_ReturnDataStyle.IDENTITY]-gas-value_100M","156.44","136.69","-19.75","-12.62%"
"tests_benchmark_compute_instruction_test_call_context.py__test_returndatasize_nonzero[fork_Prague-benchmark-blockchain_test_engine_x-returned_size_1024-return_data_style_ReturnDataStyle.IDENTITY]-gas-value_100M","166.93","178.56","11.63","6.97%"
