Nethermind - ethpandaops/nethermind:performance-57df2eb - Benchmarking Report
                               Title                                | Min (MGas/s) | Max (MGas/s) | p50 (MGas/s) | p95 (MGas/s) | p99 (MGas/s) |   N   |    Description | Start time
test_worst_stateful_opcodes.py__test_worst_storage_access_cold[fork_Prague-benchmark-benchmark_test-absent_slots_False-SSTORE new value, out of gas]|  150000.00   |  150000.00   |  150000.00   |  150000.00   |  150000.00   |   1   |Description not found on metadata file            |0
test_worst_stateful_opcodes.py__test_worst_selfdestruct_existing[fork_Prague-benchmark-benchmark_test-value_bearing_True]|      0       |      0       |      0       |      0       |      0       |   0   |Description not found on metadata file            |0
test_worst_stateful_opcodes.py__test_worst_storage_access_cold[fork_Prague-benchmark-benchmark_test-absent_slots_True-SSTORE new value]|  150000.00   |  150000.00   |  150000.00   |  150000.00   |  150000.00   |   1   |Description not found on metadata file            |0
test_worst_stateful_opcodes.py__test_worst_storage_access_cold[fork_Prague-benchmark-benchmark_test-absent_slots_False-SSTORE new value]|  150000.00   |  150000.00   |  150000.00   |  150000.00   |  150000.00   |   1   |Description not found on metadata file            |0
test_worst_stateful_opcodes.py__test_worst_address_state_warm[fork_Prague-benchmark_test-absent_target_False-opcode_CALLCODE]|  150000.00   |  150000.00   |  150000.00   |  150000.00   |  150000.00   |   1   |Description not found on metadata file            |0
test_worst_stateful_opcodes.py__test_worst_selfdestruct_created[fork_Prague-benchmark-state_test-value_bearing_True]|      0       |      0       |      0       |      0       |      0       |   0   |Description not found on metadata file            |0
test_worst_stateful_opcodes.py__test_worst_storage_access_cold[fork_Prague-benchmark-benchmark_test-absent_slots_True-SSTORE same value, out of gas]|  150000.00   |  150000.00   |  150000.00   |  150000.00   |  150000.00   |   1   |Description not found on metadata file            |0
test_worst_stateful_opcodes.py__test_worst_address_state_warm[fork_Prague-benchmark_test-absent_target_True-opcode_CALL]|  150000.00   |  150000.00   |  150000.00   |  150000.00   |  150000.00   |   1   |Description not found on metadata file            |0
test_worst_stateful_opcodes.py__test_worst_address_state_warm[fork_Prague-benchmark_test-absent_target_True-opcode_CALLCODE]|  150000.00   |  150000.00   |  150000.00   |  150000.00   |  150000.00   |   1   |Description not found on metadata file            |0
test_worst_stateful_opcodes.py__test_worst_address_state_warm[fork_Prague-benchmark_test-absent_target_True-opcode_EXTCODESIZE]|  150000.00   |  150000.00   |  150000.00   |  150000.00   |  150000.00   |   1   |Description not found on metadata file            |0
