Title,Max (MGas/s),p50 (MGas/s),p95 (MGas/s),p99 (MGas/s),Min (MGas/s),N,Description,Start Time
"test_worst_stateful_opcodes.py__test_worst_storage_access_cold[fork_Prague-benchmark-benchmark_test-absent_slots_False-SSTORE new value, out of gas]",474.14,474.14,474.14,474.14,474.14,1,Description not found on metadata file,2025-10-22 10:29:10.509819+00
test_worst_stateful_opcodes.py__test_worst_selfdestruct_existing[fork_Prague-benchmark-benchmark_test-value_bearing_True],206.70,206.70,206.70,206.70,206.70,1,Description not found on metadata file,2025-10-22 10:29:46.451866+00
test_worst_stateful_opcodes.py__test_worst_storage_access_cold[fork_Prague-benchmark-benchmark_test-absent_slots_True-SSTORE new value],1262.74,1262.74,1262.74,1262.74,1262.74,1,Description not found on metadata file,2025-10-22 10:28:48.332817+00
test_worst_stateful_opcodes.py__test_worst_storage_access_cold[fork_Prague-benchmark-benchmark_test-absent_slots_False-SSTORE new value],354.48,354.48,354.48,354.48,354.48,1,Description not found on metadata file,2025-10-22 10:29:06.446266+00
test_worst_stateful_opcodes.py__test_worst_address_state_warm[fork_Prague-benchmark_test-absent_target_False-opcode_CALLCODE],634.19,634.19,634.19,634.19,634.19,1,Description not found on metadata file,2025-10-22 10:28:40.370102+00
test_worst_stateful_opcodes.py__test_worst_selfdestruct_created[fork_Prague-benchmark-state_test-value_bearing_True],73.50,73.50,73.50,73.50,73.50,1,Description not found on metadata file,2025-10-22 10:30:13.663223+00
"test_worst_stateful_opcodes.py__test_worst_storage_access_cold[fork_Prague-benchmark-benchmark_test-absent_slots_True-SSTORE same value, out of gas]",1886.31,1886.31,1886.31,1886.31,1886.31,1,Description not found on metadata file,2025-10-22 10:28:47.198685+00
test_worst_stateful_opcodes.py__test_worst_address_state_warm[fork_Prague-benchmark_test-absent_target_True-opcode_CALL],492.30,492.30,492.30,492.30,492.30,1,Description not found on metadata file,2025-10-22 10:28:31.439156+00
test_worst_stateful_opcodes.py__test_worst_address_state_warm[fork_Prague-benchmark_test-absent_target_True-opcode_CALLCODE],528.05,528.05,528.05,528.05,528.05,1,Description not found on metadata file,2025-10-22 10:28:32.676888+00
test_worst_stateful_opcodes.py__test_worst_address_state_warm[fork_Prague-benchmark_test-absent_target_True-opcode_EXTCODESIZE],2423.14,2423.14,2423.14,2423.14,2423.14,1,Description not found on metadata file,2025-10-22 10:28:29.193909+00
test_worst_stateful_opcodes.py__test_worst_extcodecopy_warm[fork_Prague-benchmark-benchmark_test-1KiB],517.50,517.50,517.50,517.50,517.50,1,Description not found on metadata file,2025-10-22 10:29:19.252403+00
test_worst_stateful_opcodes.py__test_worst_address_state_warm[fork_Prague-benchmark_test-absent_target_False-opcode_STATICCALL],702.20,702.20,702.20,702.20,702.20,1,Description not found on metadata file,2025-10-22 10:28:42.686211+00
"test_worst_stateful_opcodes.py__test_worst_storage_access_cold[fork_Prague-benchmark-benchmark_test-absent_slots_True-SSTORE new value, revert]",1932.12,1932.12,1932.12,1932.12,1932.12,1,Description not found on metadata file,2025-10-22 10:28:49.385963+00
test_worst_stateful_opcodes.py__test_worst_selfdestruct_existing[fork_Prague-benchmark-benchmark_test-value_bearing_False],245.90,245.90,245.90,245.90,245.90,1,Description not found on metadata file,2025-10-22 10:30:10.692131+00
test_worst_stateful_opcodes.py__test_worst_selfdestruct_initcode[fork_Prague-benchmark-state_test-value_bearing_True],136.32,136.32,136.32,136.32,136.32,1,Description not found on metadata file,2025-10-22 10:30:18.576828+00
