Title,Max (MGas/s),p50 (MGas/s),p95 (MGas/s),p99 (MGas/s),Min (MGas/s),N,Description,Start Time
"test_worst_stateful_opcodes.py__test_worst_storage_access_cold[fork_Prague-benchmark-benchmark_test-absent_slots_False-SSTORE new value, out of gas]",3338.83,3338.83,3338.83,3338.83,3338.83,1,Description not found on metadata file,2025-10-22 09:12:46.228477+00
test_worst_stateful_opcodes.py__test_worst_selfdestruct_existing[fork_Prague-benchmark-benchmark_test-value_bearing_True],1660.34,1660.34,1660.34,1660.34,1660.34,1,Description not found on metadata file,2025-10-22 09:13:03.267242+00
test_worst_stateful_opcodes.py__test_worst_storage_access_cold[fork_Prague-benchmark-benchmark_test-absent_slots_True-SSTORE new value],7884.80,7884.80,7884.80,7884.80,7884.80,1,Description not found on metadata file,2025-10-22 09:12:36.866508+00
test_worst_stateful_opcodes.py__test_worst_storage_access_cold[fork_Prague-benchmark-benchmark_test-absent_slots_False-SSTORE new value],2636.78,2636.78,2636.78,2636.78,2636.78,1,Description not found on metadata file,2025-10-22 09:12:44.250458+00
test_worst_stateful_opcodes.py__test_worst_address_state_warm[fork_Prague-benchmark_test-absent_target_False-opcode_CALLCODE],1447.79,1447.79,1447.79,1447.79,1447.79,1,Description not found on metadata file,2025-10-22 09:12:30.187019+00
test_worst_stateful_opcodes.py__test_worst_selfdestruct_created[fork_Prague-benchmark-state_test-value_bearing_True],98.88,98.88,98.88,98.88,98.88,1,Description not found on metadata file,2025-10-22 09:13:14.379242+00
"test_worst_stateful_opcodes.py__test_worst_storage_access_cold[fork_Prague-benchmark-benchmark_test-absent_slots_True-SSTORE same value, out of gas]",9584.44,9584.44,9584.44,9584.44,9584.44,1,Description not found on metadata file,2025-10-22 09:12:35.945152+00
test_worst_stateful_opcodes.py__test_worst_address_state_warm[fork_Prague-benchmark_test-absent_target_True-opcode_CALL],3086.10,3086.10,3086.10,3086.10,3086.10,1,Description not found on metadata file,2025-10-22 09:12:22.418243+00
test_worst_stateful_opcodes.py__test_worst_address_state_warm[fork_Prague-benchmark_test-absent_target_True-opcode_CALLCODE],2788.91,2788.91,2788.91,2788.91,2788.91,1,Description not found on metadata file,2025-10-22 09:12:23.368378+00
test_worst_stateful_opcodes.py__test_worst_address_state_warm[fork_Prague-benchmark_test-absent_target_True-opcode_EXTCODESIZE],4235.73,4235.73,4235.73,4235.73,4235.73,1,Description not found on metadata file,2025-10-22 09:12:20.479355+00
test_worst_stateful_opcodes.py__test_worst_extcodecopy_warm[fork_Prague-benchmark-benchmark_test-1KiB],1402.09,1402.09,1402.09,1402.09,1402.09,1,Description not found on metadata file,2025-10-22 09:12:53.414749+00
test_worst_stateful_opcodes.py__test_worst_address_state_warm[fork_Prague-benchmark_test-absent_target_False-opcode_STATICCALL],1903.53,1903.53,1903.53,1903.53,1903.53,1,Description not found on metadata file,2025-10-22 09:12:32.164330+00
"test_worst_stateful_opcodes.py__test_worst_storage_access_cold[fork_Prague-benchmark-benchmark_test-absent_slots_True-SSTORE new value, revert]",9606.11,9606.11,9606.11,9606.11,9606.11,1,Description not found on metadata file,2025-10-22 09:12:37.797737+00
test_worst_stateful_opcodes.py__test_worst_selfdestruct_existing[fork_Prague-benchmark-benchmark_test-value_bearing_False],2891.43,2891.43,2891.43,2891.43,2891.43,1,Description not found on metadata file,2025-10-22 09:13:11.942444+00
test_worst_stateful_opcodes.py__test_worst_selfdestruct_initcode[fork_Prague-benchmark-state_test-value_bearing_True],111.94,111.94,111.94,111.94,111.94,1,Description not found on metadata file,2025-10-22 09:13:19.036324+00
