Title,Max (MGas/s),p50 (MGas/s),p95 (MGas/s),p99 (MGas/s),Min (MGas/s),N,Description,Start Time
"test_worst_stateful_opcodes.py__test_worst_storage_access_cold[fork_Prague-benchmark-benchmark_test-absent_slots_False-SSTORE new value, out of gas]",1281.55,1281.55,1281.55,1281.55,1281.55,1,Description not found on metadata file,2025-10-22 09:17:43.147667+00
test_worst_stateful_opcodes.py__test_worst_selfdestruct_existing[fork_Prague-benchmark-benchmark_test-value_bearing_True],518.67,518.67,518.67,518.67,518.67,1,Description not found on metadata file,2025-10-22 09:17:55.091431+00
test_worst_stateful_opcodes.py__test_worst_storage_access_cold[fork_Prague-benchmark-benchmark_test-absent_slots_True-SSTORE new value],1850.29,1850.29,1850.29,1850.29,1850.29,1,Description not found on metadata file,2025-10-22 09:17:29.900879+00
test_worst_stateful_opcodes.py__test_worst_storage_access_cold[fork_Prague-benchmark-benchmark_test-absent_slots_False-SSTORE new value],630.25,630.25,630.25,630.25,630.25,1,Description not found on metadata file,2025-10-22 09:17:40.532288+00
test_worst_stateful_opcodes.py__test_worst_address_state_warm[fork_Prague-benchmark_test-absent_target_False-opcode_CALLCODE],1600.66,1600.66,1600.66,1600.66,1600.66,1,Description not found on metadata file,2025-10-22 09:17:22.743629+00
test_worst_stateful_opcodes.py__test_worst_selfdestruct_created[fork_Prague-benchmark-state_test-value_bearing_True],308.26,308.26,308.26,308.26,308.26,1,Description not found on metadata file,2025-10-22 09:17:59.780319+00
"test_worst_stateful_opcodes.py__test_worst_storage_access_cold[fork_Prague-benchmark-benchmark_test-absent_slots_True-SSTORE same value, out of gas]",2433.98,2433.98,2433.98,2433.98,2433.98,1,Description not found on metadata file,2025-10-22 09:17:28.939133+00
test_worst_stateful_opcodes.py__test_worst_address_state_warm[fork_Prague-benchmark_test-absent_target_True-opcode_CALL],1479.59,1479.59,1479.59,1479.59,1479.59,1,Description not found on metadata file,2025-10-22 09:17:14.919563+00
test_worst_stateful_opcodes.py__test_worst_address_state_warm[fork_Prague-benchmark_test-absent_target_True-opcode_CALLCODE],981.08,981.08,981.08,981.08,981.08,1,Description not found on metadata file,2025-10-22 09:17:15.949745+00
test_worst_stateful_opcodes.py__test_worst_address_state_warm[fork_Prague-benchmark_test-absent_target_True-opcode_EXTCODESIZE],3157.23,3157.23,3157.23,3157.23,3157.23,1,Description not found on metadata file,2025-10-22 09:17:13.008728+00
test_worst_stateful_opcodes.py__test_worst_extcodecopy_warm[fork_Prague-benchmark-benchmark_test-1KiB],1420.58,1420.58,1420.58,1420.58,1420.58,1,Description not found on metadata file,2025-10-22 09:17:50.587090+00
test_worst_stateful_opcodes.py__test_worst_address_state_warm[fork_Prague-benchmark_test-absent_target_False-opcode_STATICCALL],1468.61,1468.61,1468.61,1468.61,1468.61,1,Description not found on metadata file,2025-10-22 09:17:24.711525+00
"test_worst_stateful_opcodes.py__test_worst_storage_access_cold[fork_Prague-benchmark-benchmark_test-absent_slots_True-SSTORE new value, revert]",2434.28,2434.28,2434.28,2434.28,2434.28,1,Description not found on metadata file,2025-10-22 09:17:30.838081+00
test_worst_stateful_opcodes.py__test_worst_selfdestruct_existing[fork_Prague-benchmark-benchmark_test-value_bearing_False],1477.10,1477.10,1477.10,1477.10,1477.10,1,Description not found on metadata file,2025-10-22 09:17:58.412933+00
test_worst_stateful_opcodes.py__test_worst_selfdestruct_initcode[fork_Prague-benchmark-state_test-value_bearing_True],318.80,318.80,318.80,318.80,318.80,1,Description not found on metadata file,2025-10-22 09:18:02.472404+00
